0.671,0.604,0.495,0.496,0.388,0.377,0.278,0.265,0.191,0.176
0.686,0.644,0.551,0.519,0.452,0.416,0.309,0.301,0.198,0.211
0.767,0.745,0.652,0.639,0.546,0.527,0.421,0.378,0.288,0.286
0.786,0.761,0.67,0.643,0.585,0.567,0.441,0.435,0.331,0.315
0.849,0.858,0.756,0.758,0.668,0.664,0.563,0.52,0.447,0.415
0.874,0.85,0.801,0.746,0.693,0.683,0.588,0.545,0.471,0.441
0.911,0.914,0.857,0.82,0.768,0.753,0.678,0.648,0.559,0.537
0.908,0.913,0.834,0.86,0.789,0.786,0.711,0.676,0.584,0.583
0.956,0.941,0.906,0.909,0.858,0.828,0.767,0.748,0.676,0.677
0.963,0.96,0.941,0.918,0.865,0.846,0.796,0.786,0.68,0.677
